name,experince,team_name,birth_day,player_id,season,team_name,lg_id,salary
Dariq Whitehead,2 years,(may be incomplete),2004-08-01,whiteda01,Career,(may be incomplete),,"$6,080,280"
Shake Milton,7 years,Philadelphia 76ers,1996-09-26,miltosh01,2018-19,Philadelphia 76ers,NBA,< $Minimum
Shake Milton,7 years,Philadelphia 76ers,1996-09-26,miltosh01,2019-20,Philadelphia 76ers,NBA,"$1,445,697"
Shake Milton,7 years,Philadelphia 76ers,1996-09-26,miltosh01,2020-21,Philadelphia 76ers,NBA,"$1,701,593"
Shake Milton,7 years,Philadelphia 76ers,1996-09-26,miltosh01,2021-22,Philadelphia 76ers,NBA,"$1,846,738"
Shake Milton,7 years,Philadelphia 76ers,1996-09-26,miltosh01,2022-23,Philadelphia 76ers,NBA,"$1,997,718"
Shake Milton,7 years,Detroit Pistons,1996-09-26,miltosh01,2023-24,Detroit Pistons,NBA,"$5,000,000"
Shake Milton,7 years,New York Knicks,1996-09-26,miltosh01,2023-24,New York Knicks,NBA,"$475,908"
Shake Milton,7 years,Los Angeles Lakers,1996-09-26,miltosh01,2024-25,Los Angeles Lakers,NBA,"$2,875,000"
Shake Milton,7 years,(may be incomplete),1996-09-26,miltosh01,Career,(may be incomplete),,"$15,342,654"
D'Angelo Russell,10 years,Los Angeles Lakers,1996-02-23,russeda01,2015-16,Los Angeles Lakers,NBA,"$5,103,120"
D'Angelo Russell,10 years,Los Angeles Lakers,1996-02-23,russeda01,2016-17,Los Angeles Lakers,NBA,"$5,332,800"
D'Angelo Russell,10 years,Brooklyn Nets,1996-02-23,russeda01,2017-18,Brooklyn Nets,NBA,"$5,562,360"
D'Angelo Russell,10 years,Brooklyn Nets,1996-02-23,russeda01,2018-19,Brooklyn Nets,NBA,"$7,019,698"
D'Angelo Russell,10 years,Minnesota Timberwolves,1996-02-23,russeda01,2019-20,Minnesota Timberwolves,NBA,"$27,285,000"
D'Angelo Russell,10 years,Minnesota Timberwolves,1996-02-23,russeda01,2020-21,Minnesota Timberwolves,NBA,"$28,649,250"
D'Angelo Russell,10 years,Minnesota Timberwolves,1996-02-23,russeda01,2021-22,Minnesota Timberwolves,NBA,"$30,013,500"
D'Angelo Russell,10 years,Los Angeles Lakers,1996-02-23,russeda01,2022-23,Los Angeles Lakers,NBA,"$31,377,750"
D'Angelo Russell,10 years,Los Angeles Lakers,1996-02-23,russeda01,2023-24,Los Angeles Lakers,NBA,"$17,307,693"
D'Angelo Russell,10 years,Brooklyn Nets,1996-02-23,russeda01,2024-25,Brooklyn Nets,NBA,"$18,692,307"
D'Angelo Russell,10 years,(may be incomplete),1996-02-23,russeda01,Career,(may be incomplete),,"$176,343,478"
Dennis Schröder,12 years,Atlanta Hawks,1993-09-15,schrode01,2013-14,Atlanta Hawks,NBA,"$1,348,200"
